Team,Year,Wins,ERA,Runs,Salary
LAD,2011,82,3.54,644,118668615.00
MIA,2011,72,3.95,625,65382393.00
MIL,2011,96,3.63,721,92577802.00
MIN,2011,63,4.58,619,115979594.00
NYM,2011,77,4.19,718,142256841.00
NYY,2011,97,3.73,867,215434678.00
OAK,2011,74,3.71,645,78335548.00
PHI,2011,102,3.02,713,170218182.00
PIT,2011,72,4.04,610,57592727.00
SDP,2011,71,3.42,593,52782510.00
SEA,2011,67,3.9,556,102894148.00
SFG,2011,86,3.2,570,127098250.00
STL,2011,90,3.74,762,118668615.00
TBR,2011,91,3.58,707,49907532.00
TEX,2011,96,3.79,855,104466721.00
TOR,2011,81,4.32,743,75241604.00
WSN,2011,80,3.58,624,78024723.00
ARI,2010,65,4.87,713,60718167.00
ATL,2010,91,3.59,738,84423667.00
BAL,2010,66,4.59,613,81612500.00
BOS,2010,89,4.19,818,162747333.00
CHC,2010,75,4.18,685,146859000.00
CHW,2010,88,4.09,752,108273197.00
CIN,2010,91,4.01,709,72386544.00
CLE,2010,69,4.3,646,61203967.00
COL,2010,83,4.14,770,84227000.00
DET,2010,81,4.3,751,122864929.00
HOU,2010,76,4.09,611,92355500.00
KCR,2010,67,4.91,676,72267710.00
LAA,2010,80,4.04,681,105013667.00
LAD,2010,80,4.01,667,93540753.00
MIA,2010,80,4.08,719,55641500.00
MIL,2010,77,4.58,750,81108279.00
MIN,2010,94,3.95,781,97559167.00
NYM,2010,79,3.7,656,132701445.00
NYY,2010,95,4.06,859,206333389.00
OAK,2010,81,3.56,663,51654900.00
PHI,2010,97,3.67,772,141927381.00
PIT,2010,57,5,587,34943000.00
SDP,2010,90,3.39,665,37799300.00
SEA,2010,61,3.93,513,98376667.00
SFG,2010,92,3.36,697,97828833.00
STL,2010,86,3.57,736,95540753.00
TBR,2010,96,3.78,802,71923471.00
TEX,2010,90,3.93,787,55250545.00
TOR,2010,85,4.22,755,62689357.00
WSN,2010,69,4.13,655,61425500.00
ARI,2009,70,4.42,720,73571667.00
ATL,2009,86,3.57,735,96726167.00
BAL,2009,64,5.15,741,67101667.00
BOS,2009,95,4.35,872,122696000.00
CHC,2009,83,3.84,707,135050000.00
CHW,2009,79,4.14,724,96068500.00
CIN,2009,78,4.18,673,70968500.00
CLE,2009,65,5.06,773,81625567.00
COL,2009,92,4.22,804,75201000.00
DET,2009,86,4.29,743,115085145.00
HOU,2009,74,4.54,643,102996415.00
KCR,2009,65,4.83,686,70908333.00
LAA,2009,97,4.45,883,113709000.00
LAD,2009,95,3.41,780,100458101.00
MIA,2009,87,4.29,772,36814000.00
MIL,2009,80,4.83,785,80257502.00
MIN,2009,87,4.5,817,65299267.00
NYM,2009,70,4.45,671,135773988.00
NYY,2009,103,4.26,915,201449289.00
OAK,2009,75,4.26,759,62310000.00
PHI,2009,93,4.16,820,113004048.00
PIT,2009,62,4.59,636,48743000.00
SDP,2009,75,4.37,638,42796700.00
SEA,2009,85,3.87,640,98904167.00
SFG,2009,88,3.55,657,82161450.00
STL,2009,91,3.66,730,88528411.00
TBR,2009,84,4.33,803,63313035.00
TEX,2009,87,4.38,784,68646023.00
TOR,2009,75,4.47,798,80993657.00
WSN,2009,59,5,710,59328000.00
